,DL,IL,EL
6050,2,5,6
6823,2,1,2
3753,1,2,8
7127,2,3,4
1905,1,1,7
7916,2,5,7
4873,1,3,3
8251,2,5,2
1127,1,3,2
7735,2,5,2
1000,1,1,9
6215,2,3,7
6701,2,4,2
527,1,2,7
8922,2,5,5
6860,2,3,2
2790,1,3,9
5261,2,2,5
568,1,2,7
152,1,2,10
8500,2,1,1
9414,2,2,4
3325,1,3,9
9081,2,3,7
6727,2,1,2
4671,1,2,9
6958,2,4,7
7585,2,3,5
7471,2,4,5
7781,2,3,6
2382,1,3,8
3466,1,1,5
8171,2,4,7
760,1,1,7
6526,2,2,7
9896,2,3,3
1456,1,3,4
4138,1,2,9
1153,1,1,8
2560,1,2,5
3841,1,3,8
9259,2,1,1
5432,2,4,6
4417,1,1,2
4333,1,2,7
2857,1,2,1
5901,2,1,7
2155,1,2,9
9350,2,1,2
3355,1,1,3
7272,2,5,3
7734,2,5,3
1748,1,2,2
105,1,1,8
3385,1,2,8
5259,2,5,6
6668,2,5,7
2095,1,2,10
7232,2,5,6
2262,1,2,7
7549,2,4,7
6898,2,1,3
2481,1,2,2
6300,2,5,7
6684,2,3,7
4055,1,2,4
5873,2,3,3
7885,2,4,4
6497,2,1,1
9046,2,1,3
8129,2,2,1
3404,1,3,8
9876,2,3,7
5827,2,5,6
7061,2,4,6
4942,1,1,8
3774,1,3,1
9958,2,1,4
9095,2,5,7
8687,2,3,5
5915,2,2,5
525,1,2,9
817,1,3,8
9466,2,1,7
9250,2,3,7
1633,1,2,2
229,1,1,7
3129,1,3,2
418,1,2,3
3776,1,2,8
3284,1,2,1
9780,2,3,6
4211,1,3,2
7957,2,5,7
3984,1,2,6
8387,2,2,1
5956,2,4,1
3763,1,2,1
1745,1,2,10
8958,2,2,3
7444,2,3,7
7808,2,4,1
8875,2,2,2
5014,1,1,2
864,1,1,4
4257,1,3,5
42,1,3,4
7795,2,4,3
302,1,1,8
875,1,2,6
6603,2,3,3
2629,1,2,9
4589,1,1,7
8675,2,1,3
2561,1,1,1
7978,2,1,6
5009,1,1,3
9536,2,3,4
6542,2,2,2
2877,1,3,8
6892,2,5,5
2893,1,1,7
2567,1,1,5
6765,2,1,4
3884,1,2,4
9818,2,2,1
7599,2,5,5
9431,2,3,7
6472,2,2,3
9480,2,3,6
6208,2,5,5
8149,2,2,7
6766,2,4,3
9924,2,5,1
8629,2,3,1
2949,1,2,8
1226,1,1,1
7068,2,4,2
5081,2,4,2
4575,1,2,8
2536,1,2,1
9972,2,5,4
4526,1,1,8
983,1,3,8
1503,1,2,10
6806,2,4,6
2878,1,3,8
3968,1,2,8
6107,2,3,4
5067,2,5,6
2047,1,3,9
5278,2,2,4
976,1,3,5
7478,2,1,7
5042,2,4,1
8896,2,3,6
5570,2,3,2
6984,2,1,3
4975,1,2,8
4074,1,3,3
5778,2,3,6
3642,1,2,6
682,1,2,2
8232,2,1,3
5148,2,2,7
9572,2,2,5
729,1,1,2
7506,2,1,7
1768,1,1,8
287,1,1,6
212,1,1,5
8965,2,3,6
3798,1,1,5
7835,2,4,6
7170,2,2,6
7846,2,4,6
6804,2,1,6
2439,1,1,7
1622,1,2,9
3730,1,2,7
9898,2,3,7
7314,2,5,4
6948,2,2,4
4364,1,1,3
6901,2,1,1
4720,1,1,1
1733,1,2,3
1407,1,2,6
6282,2,5,4
7481,2,4,4
3297,1,1,7
483,1,3,8
3026,1,1,4
8096,2,1,2
2681,1,2,10
9078,2,1,7
9674,2,4,2
5876,2,1,6
9894,2,1,4
3101,1,3,1
7876,2,2,6
7900,2,4,6
1159,1,3,4
7823,2,5,1
4828,1,2,4
3922,1,1,8
4391,1,1,10
6180,2,4,2
469,1,1,4
3056,1,2,4
9639,2,5,4
2277,1,3,6
8291,2,3,6
8044,2,5,7
9736,2,2,2
7124,2,4,4
1618,1,3,6
9499,2,4,3
2606,1,3,7
1866,1,2,8
6942,2,3,3
6745,2,3,1
6422,2,1,7
1210,1,2,9
1893,1,2,1
8037,2,1,3
3493,1,2,1
8613,2,1,5
5519,2,3,5
8272,2,5,6
828,1,1,8
160,1,1,2
1259,1,1,8
2566,1,3,10
5663,2,2,6
1939,1,3,2
3127,1,3,5
2322,1,1,10
1469,1,2,4
5297,2,3,5
8239,2,4,3
5260,2,5,6
4628,1,1,6
9656,2,3,6
790,1,2,7
5880,2,2,5
9330,2,2,5
3977,1,3,8
8433,2,4,4
2067,1,2,8
4314,1,3,7
4078,1,1,4
3691,1,3,6
426,1,2,9
9513,2,4,2
3116,1,3,5
1413,1,2,3
9779,2,5,5
3192,1,3,8
4838,1,1,2
1528,1,2,1
3578,1,1,8
6936,2,5,5
198,1,2,10
3106,1,3,5
2115,1,3,2
5928,2,3,1
5362,2,3,2
1864,1,1,8
4327,1,3,9
3311,1,1,3
1166,1,3,1
9843,2,5,7
5328,2,2,7
1389,1,1,4
4777,1,2,2
6650,2,2,5
7223,2,5,4
9284,2,3,5
2267,1,1,10
3096,1,3,2
1334,1,2,6
9889,2,3,6
7541,2,1,6
3960,1,1,6
5493,2,5,1
1765,1,1,5
747,1,1,3
2165,1,3,8
311,1,1,3
9356,2,1,4
8712,2,4,1
8762,2,5,1
9684,2,2,5
8459,2,1,7
4979,1,2,5
1841,1,1,7
1229,1,1,6
3303,1,3,1
567,1,1,5
3150,1,1,3
9734,2,1,3
7357,2,2,4
3011,1,3,10
8436,2,3,4
4162,1,2,3
5536,2,2,5
562,1,2,5
3233,1,2,10
539,1,1,1
2836,1,3,1
1427,1,1,4
1856,1,2,5
3091,1,3,3
2942,1,1,8
7179,2,4,7
6568,2,3,6
6547,2,5,6
6772,2,1,4
7995,2,1,6
6629,2,1,5
6259,2,4,2
3990,1,3,1
6,1,2,1
8440,2,3,7
3244,1,2,2
7386,2,3,7
9865,2,1,4
9707,2,4,1
5258,2,2,5
879,1,2,1
797,1,3,7
1645,1,2,9
9281,2,5,1
5692,2,2,4
8750,2,4,6
9384,2,5,2
9558,2,3,6
120,1,3,8
9438,2,1,1
8051,2,4,7
1708,1,2,4
5064,2,4,6
12,1,1,10
7965,2,3,3
6859,2,5,5
1692,1,1,9
5576,2,4,1
7503,2,2,5
1030,1,2,10
4806,1,3,9
2861,1,1,7
3996,1,1,7
8681,2,2,2
5312,2,4,2
3572,1,1,8
6906,2,5,1
5622,2,5,1
6129,2,4,2
8556,2,3,4
7374,2,2,5
6236,2,3,5
516,1,2,7
799,1,3,7
7135,2,1,7
44,1,2,6
4294,1,3,5
9435,2,2,5
4235,1,3,1
2364,1,2,7
3229,1,1,10
1627,1,2,6
7050,2,1,2
3808,1,1,2
5646,2,4,7
9720,2,2,5
540,1,3,8
7996,2,5,2
4805,1,3,4
3387,1,2,2
5845,2,4,3
1587,1,2,1
3712,1,3,1
9101,2,1,4
475,1,2,5
2578,1,2,2
2203,1,3,1
3283,1,2,4
7202,2,2,5
115,1,3,4
7696,2,5,7
336,1,2,9
5109,2,2,3
1498,1,1,8
4813,1,3,4
3306,1,3,8
8092,2,2,6
5911,2,3,1
5107,2,5,1
1709,1,1,1
3851,1,1,2
83,1,1,3
6593,2,2,3
5581,2,2,2
3760,1,2,9
366,1,1,6
6911,2,3,5
4476,1,1,4
9190,2,1,4
3614,1,1,5
676,1,3,9
7364,2,5,5
896,1,3,3
512,1,3,3
8016,2,5,2
3039,1,3,7
71,1,2,8
4850,1,1,7
7325,2,4,2
3090,1,3,10
1419,1,1,10
9806,2,4,5
89,1,1,8
3358,1,1,2
6531,2,4,4
179,1,1,4
7691,2,1,1
4820,1,3,6
9195,2,3,5
3290,1,3,8
6451,2,2,4
3402,1,2,3
4331,1,3,3
547,1,1,7
7667,2,4,6
4226,1,3,6
4904,1,2,5
1914,1,3,10
6469,2,2,6
1454,1,3,2
8389,2,1,7
4254,1,2,1
2690,1,3,6
3561,1,1,5
3025,1,1,5
8485,2,4,3
6128,2,5,2
173,1,3,4
485,1,3,8
2104,1,3,2
5914,2,5,4
2559,1,2,3
6687,2,1,1
3304,1,1,4
2373,1,3,9
6641,2,2,2
3638,1,1,3
8838,2,2,6
1186,1,1,5
9575,2,5,2
660,1,1,1
6926,2,3,4
7509,2,2,5
3621,1,3,7
7360,2,4,4
594,1,2,5
803,1,2,3
7013,2,5,3
5913,2,2,5
8717,2,2,7
7576,2,1,5
4791,1,1,6
4734,1,1,7
1553,1,3,4
3877,1,3,8
726,1,3,10
2404,1,1,6
9334,2,3,3
4268,1,1,5
2469,1,2,2
2588,1,3,8
6869,2,1,6
8404,2,4,2
8516,2,1,6
9622,2,3,6
8125,2,4,1
4582,1,2,3
7939,2,4,3
7373,2,3,3
6036,2,5,5
5502,2,5,4
9756,2,1,6
791,1,3,5
388,1,2,8
8975,2,1,3
2008,1,3,9
4674,1,2,1
5917,2,2,4
3830,1,1,4
3309,1,2,7
7872,2,2,4
9373,2,4,2
1701,1,2,6
1916,1,2,8
7527,2,1,2
3702,1,2,3
3117,1,2,9
3121,1,2,8
623,1,2,10
9293,2,2,2
2668,1,2,2
5092,2,4,1
8502,2,2,7
4816,1,2,2
2176,1,1,1
8056,2,5,4
6353,2,2,3
2096,1,2,9
1814,1,3,8
9051,2,1,5
1585,1,1,8
5945,2,2,1
4010,1,3,8
6250,2,3,4
7499,2,5,2
7353,2,2,6
6589,2,3,2
9321,2,1,6
7507,2,2,4
1815,1,3,4
3861,1,1,3
7187,2,1,7
6474,2,4,6
3526,1,3,10
4506,1,2,6
8345,2,3,1
4517,1,1,10
5054,2,4,6
1762,1,3,9
5783,2,5,6
1270,1,3,5
8456,2,3,3
3419,1,3,4
4416,1,2,3
2511,1,2,8
235,1,1,4
20,1,2,3
8615,2,1,2
6598,2,5,1
3684,1,2,1
6986,2,3,2
1150,1,3,4
936,1,2,4
9840,2,4,1
8659,2,5,5
3383,1,1,5
805,1,3,6
2649,1,2,4
6176,2,4,7
7933,2,4,3
2249,1,3,1
3391,1,2,4
5708,2,5,5
5368,2,4,6
3599,1,1,1
5534,2,3,7
2498,1,1,8
1921,1,2,8
3113,1,1,7
628,1,1,1
6296,2,5,6
5908,2,3,6
2776,1,3,9
7321,2,4,4
2338,1,1,4
7717,2,1,4
5130,2,4,2
2202,1,1,6
7453,2,2,2
6324,2,3,4
3207,1,1,9
1973,1,2,6
4649,1,1,3
974,1,1,5
135,1,2,8
836,1,3,1
9606,2,3,5
6379,2,3,3
435,1,1,2
3635,1,3,10
544,1,3,7
9240,2,1,3
8969,2,4,6
7992,2,4,6
1784,1,1,9
4991,1,3,5
9875,2,5,2
4683,1,1,10
7749,2,4,5
2392,1,2,1
612,1,2,4
7989,2,5,5
7239,2,5,3
9587,2,4,3
3651,1,1,10
5808,2,1,2
7473,2,3,7
7523,2,2,3
7098,2,4,7
9400,2,4,1
4948,1,3,9
4180,1,2,6
4069,1,1,5
5232,2,5,6
4172,1,1,2
2736,1,3,7
3716,1,2,8
2905,1,1,3
5361,2,5,7
1365,1,3,5
1549,1,3,7
2479,1,1,1
8491,2,5,3
767,1,3,5
7095,2,2,4
8789,2,2,2
8150,2,1,2
2174,1,1,3
2929,1,1,1
533,1,3,3
4344,1,2,7
3844,1,1,1
3377,1,1,7
1559,1,2,2
6543,2,1,1
8026,2,3,3
7243,2,4,4
1321,1,3,6
1052,1,1,10
796,1,2,4
643,1,3,4
1056,1,3,7
8130,2,5,7
19,1,2,1
2158,1,3,2
3559,1,2,5
6833,2,4,3
5175,2,2,4
7560,2,2,6
9360,2,3,1
1507,1,3,4
5335,2,5,1
6728,2,2,3
3723,1,1,2
8238,2,3,1
8626,2,1,7
6388,2,4,3
2081,1,3,7
1494,1,1,6
1684,1,2,10
2029,1,1,4
1705,1,1,3
2544,1,3,9
5274,2,5,6
1261,1,3,8
3375,1,3,3
9748,2,4,7
4196,1,3,7
9816,2,2,7
2103,1,1,5
8960,2,2,3
3328,1,2,4
4455,1,1,5
7694,2,1,6
2472,1,1,1
1713,1,3,8
553,1,3,6
3503,1,3,5
5483,2,4,3
8048,2,5,4
9442,2,3,3
2147,1,1,9
1862,1,1,1
3390,1,2,10
7351,2,5,6
1424,1,3,10
3696,1,2,8
4753,1,1,1
5065,2,4,3
1868,1,1,7
7236,2,5,6
159,1,3,7
8608,2,5,6
7510,2,2,6
3981,1,1,1
4832,1,3,10
724,1,3,1
8343,2,5,7
1320,1,2,5
8910,2,3,7
2019,1,2,8
7930,2,1,3
7320,2,3,7
2211,1,2,2
4978,1,1,10
2137,1,2,9
6376,2,4,5
7748,2,4,7
195,1,2,8
6416,2,1,3
9367,2,5,5
6787,2,2,6
800,1,2,10
1372,1,2,9
145,1,3,5
8215,2,1,3
9459,2,3,4
1199,1,2,4
2910,1,2,6
4699,1,3,1
7312,2,2,2
671,1,3,9
4844,1,1,7
1232,1,3,8
9364,2,4,4
7482,2,3,4
4213,1,2,5
9560,2,3,7
7709,2,4,3
2842,1,2,9
8140,2,5,7
8575,2,4,7
2248,1,3,4
2624,1,1,10
3685,1,1,6
5028,1,2,4
9476,2,5,7
9920,2,3,1
6138,2,3,4
3389,1,1,9
1006,1,2,7
326,1,3,4
6813,2,1,3
8003,2,3,4
2050,1,2,9
4622,1,3,9
9523,2,2,1
8189,2,3,3
564,1,2,7
7887,2,1,1
7487,2,5,2
7847,2,3,4
7315,2,1,5
2425,1,1,8
8304,2,1,3
7442,2,2,3
3707,1,3,6
8644,2,2,1
9009,2,2,3
5320,2,1,3
181,1,2,1
6750,2,1,7
9213,2,3,3
7133,2,4,6
7742,2,3,3
9022,2,4,4
234,1,2,5
8832,2,1,3
862,1,1,10
5695,2,3,7
2640,1,1,1
6910,2,3,2
648,1,3,4
7664,2,4,1
2038,1,1,4
4648,1,2,6
4259,1,2,1
7886,2,2,6
6974,2,2,6
8677,2,1,7
8768,2,1,1
1860,1,2,1
1706,1,3,6
1466,1,3,3
410,1,3,7
606,1,2,10
8432,2,2,6
7426,2,2,2
6821,2,5,3
4759,1,3,6
3804,1,3,6
4206,1,2,5
1381,1,3,6
1731,1,1,4
5347,2,3,2
9361,2,4,2
8663,2,3,5
7130,2,5,2
1791,1,1,4
5885,2,1,3
4042,1,1,6
6409,2,5,4
15,1,3,3
9436,2,1,6
5113,2,4,1
3400,1,2,8
8489,2,5,2
7497,2,4,2
8498,2,4,5
4786,1,2,10
3743,1,1,8
5517,2,4,4
8520,2,4,3
2921,1,3,6
3431,1,1,8
8993,2,2,7
9692,2,4,1
3307,1,3,6
4679,1,2,1
1583,1,3,3
4615,1,1,7
9470,2,5,2
4635,1,1,5
9376,2,1,2
6221,2,4,3
8468,2,4,6
4591,1,2,5
8537,2,5,3
4741,1,1,8
6368,2,3,5
9015,2,5,4
4790,1,1,3
5866,2,3,5
1796,1,3,6
3002,1,3,4
6819,2,1,5
5296,2,2,2
684,1,1,10
8260,2,5,1
4006,1,3,8
7168,2,5,7
6295,2,4,3
4319,1,2,3
3540,1,1,10
4564,1,3,10
6002,2,3,2
9337,2,5,6
5952,2,2,7
9406,2,2,1
1817,1,1,10
8804,2,2,1
898,1,1,5
3519,1,3,2
8434,2,5,7
3709,1,1,9
1932,1,2,8
4551,1,2,4
998,1,3,4
968,1,3,3
1696,1,2,7
1416,1,2,6
6739,2,3,1
7365,2,1,6
3905,1,3,3
2521,1,1,3
362,1,2,7
9742,2,5,1
1251,1,2,1
7974,2,3,6
7099,2,5,5
403,1,3,2
6702,2,1,7
901,1,2,10
7685,2,1,5
6088,2,4,3
2835,1,2,4
4900,1,3,7
7519,2,2,3
1051,1,2,1
5612,2,3,6
175,1,3,10
4141,1,1,2
6814,2,5,3
2513,1,2,5
6838,2,1,3
1027,1,3,10
8401,2,1,1
8793,2,5,3
8971,2,4,6
853,1,2,4
5544,2,1,1
5470,2,5,5
4278,1,2,2
2030,1,2,7
5146,2,5,4
7522,2,4,2
2849,1,1,4
5182,2,1,3
238,1,2,6
2734,1,1,6
1724,1,2,5
5979,2,3,6
6610,2,4,3
3010,1,2,6
1428,1,2,5
765,1,3,2
6340,2,5,5
7587,2,5,7
559,1,2,6
329,1,2,1
9131,2,4,3
1930,1,3,1
1719,1,2,10
2888,1,1,5
1061,1,1,1
4709,1,2,7
8115,2,3,5
3593,1,1,6
7875,2,5,2
4646,1,3,4
2620,1,3,8
9598,2,1,4
7811,2,1,2
1903,1,2,3
9224,2,3,7
5895,2,5,1
7561,2,1,3
3649,1,1,10
6780,2,5,2
6385,2,2,7
2196,1,1,3
1072,1,1,8
222,1,1,9
670,1,1,4
7612,2,5,5
4136,1,3,6
8998,2,5,4
6357,2,4,6
3600,1,2,4
3064,1,2,10
1288,1,3,1
4826,1,3,4
7504,2,1,1
5077,2,4,7
7829,2,5,7
4631,1,1,7
1715,1,3,6
9305,2,2,7
6274,2,4,2
4638,1,1,10
9728,2,1,6
7849,2,4,6
3232,1,3,10
1637,1,3,3
6070,2,1,5
2135,1,2,7
5026,1,2,3
167,1,1,5
4464,1,2,5
1537,1,3,1
1983,1,2,6
4593,1,3,7
2457,1,3,6
5385,2,1,7
5745,2,4,6
8833,2,1,7
2846,1,3,3
1577,1,1,9
236,1,2,1
6312,2,4,1
6923,2,1,1
8151,2,1,2
6932,2,4,1
7030,2,1,2
2525,1,2,10
9568,2,3,5
2746,1,2,8
537,1,1,8
3058,1,3,8
4903,1,3,2
308,1,1,4
5082,2,2,4
3566,1,1,8
2725,1,1,3
9410,2,2,2
2385,1,1,4
4970,1,2,9
4555,1,3,2
5644,2,3,1
3247,1,1,5
4761,1,2,8
6430,2,2,3
6105,2,5,2
2433,1,1,6
2374,1,2,7
6776,2,1,4
6847,2,3,7
5977,2,2,6
8173,2,3,3
8574,2,2,1
5450,2,5,7
4531,1,1,8
3961,1,1,5
4065,1,1,9
47,1,2,5
8084,2,3,5
3803,1,2,1
3749,1,1,6
2908,1,3,10
4657,1,1,10
5933,2,2,6
1805,1,3,2
7028,2,3,7
8144,2,5,3
7622,2,3,1
8727,2,5,7
82,1,2,6
8004,2,5,4
8442,2,5,1
3919,1,3,8
6511,2,5,2
621,1,2,3
4821,1,1,10
6272,2,2,3
6069,2,4,5
7193,2,4,6
1883,1,1,1
7380,2,5,2
4748,1,3,3
6873,2,4,1
9358,2,3,2
5640,2,5,2
2770,1,3,6
7069,2,2,6
3518,1,1,7
2505,1,2,5
5388,2,3,7
7629,2,4,2
5269,2,1,6
8777,2,4,2
9936,2,4,6
8089,2,3,7
6089,2,3,5
4063,1,3,4
715,1,3,1
1668,1,3,8
6924,2,3,6
1264,1,2,3
2998,1,2,2
5293,2,2,4
6683,2,3,3
1443,1,2,7
7470,2,2,4
8616,2,5,3
8704,2,5,5
473,1,2,7
6205,2,3,6
647,1,2,8
5172,2,4,6
7854,2,1,3
8176,2,5,1
7972,2,5,5
2884,1,3,8
8915,2,1,7
9149,2,2,2
741,1,1,5
742,1,1,5
6362,2,3,3
3985,1,3,1
7082,2,5,6
1138,1,3,8
1375,1,1,2
7401,2,4,2
536,1,1,10
4343,1,2,6
4597,1,2,6
9814,2,2,4
3324,1,1,6
7559,2,1,5
7051,2,4,1
843,1,3,2
2799,1,2,4
5755,2,1,4
907,1,3,1
2971,1,3,2
6704,2,5,4
4616,1,3,5
5382,2,2,2
8388,2,4,2
2657,1,3,4
5794,2,5,5
7988,2,2,3
3114,1,1,1
1184,1,1,10
3270,1,1,9
1967,1,2,5
5939,2,5,5
2333,1,2,2
9596,2,5,3
6525,2,4,6
1082,1,3,10
6761,2,3,4
5620,2,4,7
9576,2,3,4
8991,2,5,6
9262,2,3,2
4493,1,3,2
695,1,1,6
6456,2,5,2
9,1,3,9
5864,2,3,7
1250,1,3,5
9062,2,2,7
1272,1,3,6
6756,2,4,5
8211,2,4,2
6686,2,4,2
9467,2,5,4
6415,2,4,3
2052,1,3,6
9489,2,1,3
162,1,2,4
7450,2,1,4
8268,2,3,1
2822,1,3,2
5992,2,1,6
786,1,2,9
7106,2,4,2
5157,2,1,5
8141,2,3,1
8647,2,1,2
9755,2,5,6
2757,1,2,3
170,1,1,7
3676,1,2,2
2478,1,1,3
5596,2,1,1
7801,2,1,6
2107,1,2,2
2316,1,3,9
7676,2,4,7
2936,1,3,9
9122,2,2,6
2002,1,3,2
8266,2,4,4
1700,1,2,2
9595,2,1,7
3173,1,3,7
274,1,3,3
2312,1,2,5
1306,1,2,9
4843,1,3,9
8668,2,4,7
2569,1,2,7
9964,2,2,1
8397,2,5,4
938,1,2,1
468,1,3,9
7760,2,3,7
3554,1,3,3
6700,2,5,1
1799,1,3,4
2915,1,3,7
5303,2,3,2
8147,2,2,3
3084,1,2,7
7756,2,5,1
3547,1,1,2
692,1,1,6
4568,1,3,5
3817,1,2,1
3544,1,1,10
1324,1,2,3
8822,2,1,4
156,1,1,3
2997,1,2,5
216,1,1,5
6059,2,2,3
4209,1,2,7
7632,2,2,5
7858,2,3,7
5128,2,4,5
7495,2,4,2
8844,2,4,5
1756,1,1,6
5283,2,3,3
2756,1,2,3
6539,2,1,1
8952,2,2,1
384,1,1,4
5806,2,5,4
406,1,2,7
5255,2,4,7
242,1,2,2
9469,2,4,6
2475,1,3,4
5761,2,1,2
1650,1,2,3
7909,2,3,7
7960,2,4,3
9296,2,2,4
4554,1,1,4
7616,2,2,5
9811,2,5,7
2184,1,1,8
4586,1,3,7
9063,2,5,5
8800,2,4,6
6092,2,3,3
3019,1,2,9
7729,2,3,6
5322,2,1,4
5999,2,5,4
2447,1,1,4
7597,2,5,6
5828,2,5,1
8205,2,5,7
7807,2,4,1
7634,2,4,1
748,1,1,2
6509,2,3,3
6383,2,3,5
2327,1,2,1
4634,1,1,6
9722,2,2,4
5513,2,4,7
4809,1,3,5
98,1,1,4
8633,2,3,5
5697,2,3,2
3376,1,2,3
9950,2,5,3
3488,1,1,9
2124,1,2,2
686,1,1,2
4937,1,1,6
9617,2,4,2
7623,2,1,3
1535,1,3,2
453,1,3,4
6918,2,5,2
7329,2,3,3
1919,1,3,5
5679,2,5,6
8152,2,4,6
8476,2,4,2
960,1,2,8
7010,2,1,6
6038,2,5,3
772,1,2,3
9827,2,2,3
6777,2,4,1
7295,2,5,2
2078,1,1,10
3541,1,1,5
3278,1,1,5
6715,2,3,2
5875,2,4,7
3802,1,2,10
7020,2,4,7
6996,2,4,6
9019,2,2,1
4204,1,3,6
9641,2,3,6
8412,2,2,1
4039,1,2,3
2528,1,3,7
2540,1,1,7
9106,2,5,3
6159,2,3,5
6801,2,5,4
943,1,1,1
8265,2,2,2
5747,2,5,2
2800,1,3,7
2200,1,1,3
1293,1,3,6
4878,1,1,8
6524,2,3,7
9979,2,2,2
6099,2,2,7
4103,1,3,1
9653,2,5,1
7151,2,1,1
3213,1,3,10
8831,2,1,7
4924,1,1,10
7455,2,3,7
1097,1,3,2
8022,2,1,1
6121,2,3,3
3875,1,3,2
4574,1,3,7
4237,1,1,9
591,1,3,3
9215,2,4,2
5050,2,3,5
6663,2,2,6
8167,2,3,6
2719,1,1,10
4079,1,3,9
3975,1,2,9
3603,1,1,4
3119,1,1,3
720,1,3,9
7592,2,1,4
9727,2,4,3
1405,1,3,5
45,1,2,6
7832,2,5,2
7620,2,3,1
993,1,1,3
1480,1,3,7
894,1,1,6
2347,1,1,1
7743,2,5,6
3287,1,1,2
9366,2,4,2
1331,1,1,6
4358,1,1,1
5122,2,2,3
3755,1,3,5
4552,1,3,3
4640,1,3,8
9399,2,1,5
107,1,2,3
7107,2,5,5
7753,2,4,3
2102,1,2,5
9580,2,4,3
1228,1,2,8
3894,1,2,10
1436,1,3,10
4916,1,3,10
436,1,1,5
5149,2,5,1
8368,2,5,2
4890,1,2,7
5505,2,3,5
3511,1,1,6
1687,1,1,7
7575,2,3,5
4752,1,2,1
5937,2,3,6
5722,2,5,1
6696,2,3,5
2177,1,1,7
1476,1,2,8
2023,1,2,10
6532,2,3,1
1179,1,1,2
1087,1,3,6
1231,1,2,9
7108,2,4,6
8936,2,4,1
1349,1,3,3
4745,1,3,7
6660,2,5,4
9331,2,2,6
5504,2,1,3
8175,2,4,3
9317,2,4,3
4792,1,2,3
9505,2,3,3
9060,2,4,1
1597,1,1,8
4282,1,1,1
9752,2,1,1
8395,2,3,7
6015,2,2,5
6288,2,2,5
5855,2,1,1
9274,2,2,7
6537,2,4,6
7959,2,2,1
672,1,1,2
9605,2,2,6
5105,2,4,7
6425,2,4,6
9919,2,3,7
6866,2,3,3
5531,2,1,3
7271,2,1,1
8255,2,3,3
5579,2,1,7
639,1,2,5
3711,1,1,3
2110,1,2,1
8289,2,3,7
9276,2,5,7
5159,2,1,2
8850,2,5,7
1510,1,2,10
1678,1,3,6
5752,2,4,3
5829,2,2,7
7264,2,3,3
9549,2,3,5
6566,2,5,2
1176,1,2,7
6169,2,4,5
9716,2,2,1
2470,1,2,2
296,1,3,4
6345,2,4,2
4503,1,1,2
1797,1,3,8
2230,1,1,3
4997,1,2,2
3655,1,2,2
2171,1,2,7
9163,2,4,7
3100,1,2,3
8621,2,2,7
6653,2,1,7
1730,1,1,3
8627,2,2,6
2683,1,3,4
3734,1,2,7
3634,1,3,7
4587,1,1,8
890,1,1,4
6264,2,3,2
1659,1,3,3
6320,2,2,4
994,1,3,10
1761,1,3,3
9175,2,4,2
6307,2,3,2
4025,1,1,8
1091,1,1,4
5590,2,4,7
3317,1,1,10
8146,2,3,7
5406,2,5,1
859,1,3,1
5751,2,3,1
376,1,2,2
9088,2,5,4
3063,1,1,9
6595,2,1,6
6867,2,2,5
1502,1,2,8
9971,2,4,6
5095,2,3,4
8623,2,1,3
9380,2,4,7
2015,1,2,6
6714,2,4,7
4406,1,2,6
6112,2,1,4
9237,2,3,4
5263,2,5,2
3882,1,2,6
61,1,3,4
1736,1,2,7
2862,1,3,5
2384,1,2,9
7892,2,3,3
5737,2,3,7
8900,2,2,5
6907,2,1,4
929,1,1,10
4939,1,3,7
9368,2,3,5
4998,1,1,10
4161,1,1,8
2131,1,2,2
8724,2,1,3
8347,2,4,4
3876,1,2,6
3958,1,2,6
5607,2,3,1
5635,2,1,1
5236,2,1,3
5447,2,4,6
6147,2,4,4
7258,2,3,2
225,1,3,6
9619,2,1,6
2901,1,1,1
6210,2,4,3
5348,2,1,6
3181,1,3,7
9701,2,4,1
927,1,1,1
2167,1,3,1
8310,2,4,3
2402,1,1,7
8733,2,3,2
5062,2,4,1
5997,2,5,3
1600,1,1,9
3938,1,2,4
5416,2,1,4
8846,2,4,6
1603,1,1,2
7843,2,1,2
1207,1,1,2
9496,2,4,2
6436,2,5,7
1827,1,3,8
1421,1,3,8
5171,2,1,4
6558,2,5,3
2751,1,1,5
9383,2,4,7
3439,1,1,9
8729,2,5,3
7017,2,1,7
5541,2,4,7
1457,1,1,7
8154,2,1,3
2615,1,1,6
6613,2,3,4
779,1,2,1
7896,2,5,7
6517,2,3,5
8356,2,3,2
1206,1,2,6
5598,2,2,4
7806,2,3,6
1902,1,2,1
1900,1,1,10
9817,2,5,2
9219,2,1,1
8877,2,2,5
8536,2,2,7
1016,1,1,8
5966,2,3,5
4983,1,2,2
510,1,3,5
2414,1,3,5
9743,2,4,7
7600,2,2,5
7805,2,2,5
5955,2,1,6
7761,2,5,4
5726,2,5,4
4334,1,2,3
5366,2,1,1
1328,1,3,10
5381,2,1,1
9571,2,5,4
7595,2,4,7
7888,2,2,1
9129,2,2,6
4766,1,3,4
7898,2,1,6
5244,2,5,6
7821,2,1,4
1204,1,3,3
1007,1,1,2
9185,2,1,2
1867,1,3,5
6294,2,5,4
1804,1,3,5
6521,2,5,1
3254,1,2,9
8689,2,2,4
7467,2,3,4
6352,2,2,2
6596,2,1,5
6697,2,2,5
865,1,2,1
7156,2,5,4
4626,1,1,1
9389,2,4,4
586,1,1,2
4967,1,1,8
4186,1,3,9
6712,2,4,2
